@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute label {other,fall}

@data
6.562707,6.562707,6.562707,2.420612,2.420612,2.420612,3.907616,0.954704,8.919073,0.314102,0.182988,0.335534,0.560448,0.427771,0.579253,0.073144,0.023413,0.205427,-0.330638,-0.279576,-0.15193,-0.063751,-0.102364,0.007567,0.015577,0.011113,0.010394,0.124808,0.105417,0.101953,other
12.409526,12.409526,12.409526,0.72786,0.72786,0.72786,5.332875,-2.53301,6.884737,8.671129,4.64938,11.19225,2.944678,2.156242,3.345482,0.671792,0.630613,0.907922,-1.220669,-3.151253,-0.939946,-0.165705,-0.477863,0.027115,0.441947,1.288749,0.39073,0.664791,1.135231,0.625084,other
15.270685,15.270685,15.270685,1.45093,1.45093,1.45093,6.69175,-6.156864,3.028648,9.283068,9.235705,11.019032,3.046813,3.03903,3.319493,2.178185,4.860244,1.841935,-2.224931,-3.200734,-3.005892,-0.071631,0.25713,-0.453086,1.601352,6.381391,2.372546,1.265445,2.526142,1.540307,other
14.387197,14.387197,14.387197,3.929005,3.929005,3.929005,8.338142,-7.17785,3.222242,6.414274,3.214861,6.244406,2.532642,1.793003,2.498881,1.362069,1.548744,2.923166,-1.105826,-2.908129,-2.548354,0.089515,-0.290205,0.136949,0.507644,1.556234,3.285495,0.712491,1.247491,1.812593,other
8.990502,8.990502,8.990502,-3.66324,-3.66324,-3.66324,1.037093,0.616579,8.784488,7.828347,4.869865,7.72333,2.797918,2.206777,2.779088,1.917346,3.153487,2.512054,-0.379507,-0.021791,-1.905724,0.321338,1.016008,1.051353,0.541312,1.43298,1.842612,0.735739,1.197071,1.357429,other
2.818061,2.818061,2.818061,-3.134106,-3.134106,-3.134106,0.247462,2.613378,9.312745,1.477661,1.295453,6.073837,1.215591,1.13818,2.464516,0.353531,0.655048,0.559118,-0.209687,-0.511094,-0.579535,-0.007674,0.115471,0.183863,0.022936,0.103422,0.162656,0.151446,0.321593,0.403306,other
2.339206,2.339206,2.339206,-1.28812,-1.28812,-1.28812,0.567709,2.439447,9.406547,0.809671,1.503749,5.303862,0.899817,1.226274,2.303012,0.283892,0.414978,0.684345,-0.284212,-0.746277,-2.027286,-0.02154,-0.202973,-0.519731,0.049179,0.141837,0.771762,0.221764,0.376613,0.8785,other
1.721484,1.721484,1.721484,-1.661627,-1.661627,-1.661627,-0.133042,2.159982,9.708971,0.675239,1.382283,4.643935,0.821729,1.175705,2.154979,0.324209,0.261651,0.65258,-0.285434,-0.9387,-1.92466,0.020182,-0.256485,-1.13414,0.038441,0.119702,0.708603,0.196063,0.345979,0.841785,other
2.693559,2.693559,2.693559,-3.064672,-3.064672,-3.064672,0.073079,2.726174,8.969645,1.998794,2.340689,8.23312,1.413787,1.529931,2.869341,0.856884,0.846249,0.710001,-0.585369,-0.641819,-1.308298,0.190186,-0.080861,-0.120775,0.249299,0.247865,0.420499,0.499299,0.497861,0.648459,other
3.598595,3.598595,3.598595,-2.502017,-2.502017,-2.502017,-0.090761,2.124904,9.414215,2.272295,1.808898,5.747999,1.507413,1.344953,2.397498,0.38102,0.039907,1.003217,-0.833991,-0.418242,-2.041947,-0.046586,-0.174079,-0.286137,0.134666,0.034747,0.959209,0.366969,0.186406,0.979392,other
3.672817,3.672817,3.672817,-9.488511,-9.488511,-9.488511,0.467123,3.433204,9.020962,2.608084,0.935191,3.249368,1.614956,0.967053,1.8026,0.47265,0.407037,0.392351,-1.469902,-0.833631,-1.279587,-0.204433,-0.009146,-0.316924,0.370003,0.152668,0.288249,0.608279,0.390727,0.536888,other
3.548315,3.548315,3.548315,-1.168406,-1.168406,-1.168406,0.408423,2.702937,9.320679,1.050529,0.80238,1.278839,1.024953,0.895757,1.130858,0.520908,0.411924,0.535294,-0.349575,-0.74872,-0.498901,0.182672,0.012662,0.02009,0.08933,0.158527,0.087697,0.298882,0.398155,0.296137,other
21.54129,21.54129,21.54129,-2.798907,-2.798907,-2.798907,4.440156,0.180103,6.089386,30.916386,11.30807,18.063076,5.560251,3.362747,4.250068,0.999216,1.066771,3.552357,-1.403928,-5.88793,-0.366954,0.158909,-0.894839,0.958868,0.472784,4.027532,1.713692,0.687593,2.006871,1.309081,other
15.146182,15.146182,15.146182,-10.800573,-10.800573,-10.800573,4.437921,-8.222392,-0.744593,24.715193,18.522991,19.994673,4.971438,4.303834,4.47154,2.112212,1.160844,2.049629,-2.265248,-1.636308,-1.226442,0.237894,0.09519,0.379829,1.58616,1.214821,0.756008,1.259428,1.102189,0.869487,other
12.026443,12.026443,12.026443,-11.159715,-11.159715,-11.159715,-0.381408,-10.534889,-0.705486,12.161596,35.688396,61.081703,3.487348,5.973977,7.815478,1.84954,1.979404,0.79369,-3.287837,-2.420048,-1.071282,-0.400582,-0.184709,-0.184122,3.605259,2.500002,0.415323,1.898752,1.58114,0.644455,other
6.098218,6.098218,6.098218,-9.615408,-9.615408,-9.615408,0.126205,-10.409988,-0.655499,9.694289,12.912297,35.082344,3.113565,3.593369,5.923035,2.393821,1.380145,0.25735,-3.09236,-1.910586,-0.96438,-0.051228,-0.036268,-0.204342,3.639669,1.208025,0.227529,1.907792,1.099102,0.477,other
5.686403,5.686403,5.686403,-11.217177,-11.217177,-11.217177,0.172872,-9.645296,-1.35212,10.429663,13.816568,43.2616,3.229499,3.717064,6.577355,2.126262,1.584785,0.315382,-2.248755,-1.548343,-0.575259,0.225188,0.240148,-0.083574,2.650477,1.005337,0.104613,1.628029,1.002665,0.323439,other
5.767808,5.767808,5.767808,-5.394301,-5.394301,-5.394301,0.125055,-10.212819,-1.209161,6.966172,16.094635,66.844543,2.639351,4.011812,8.175851,1.848929,1.402136,0.15106,-3.05693,-1.889206,-0.459806,0.168866,-0.215069,-0.184061,3.366484,1.357588,0.047973,1.834798,1.165156,0.219027,other
6.656084,6.656084,6.656084,-5.164451,-5.164451,-5.164451,0.215538,-10.043132,-1.233477,7.462891,17.05884,51.457359,2.731829,4.130235,7.173379,2.098162,1.102201,0.149227,-3.125347,-1.347368,-0.725532,-0.401804,0.221944,-0.246308,2.80198,0.997158,0.092433,1.673912,0.998578,0.304028,other
4.975303,4.975303,4.975303,-5.095017,-5.095017,-5.095017,0.587874,-10.477267,-1.008203,4.967587,11.11509,38.190659,2.228808,3.33393,6.179859,1.981487,1.244533,0.273844,-2.634822,-1.81468,-0.917955,-0.039255,0.098794,-0.16885,3.626384,1.081925,0.143826,1.904307,1.040156,0.379243,other
6.60341,6.60341,6.60341,-7.980118,-7.980118,-7.980118,0.271245,-9.602452,-0.841933,8.351112,13.848971,40.767662,2.889829,3.721421,6.384956,1.998591,1.625102,0.237803,-3.311049,-2.137217,-0.710871,0.353653,0.234345,-0.172149,2.875405,1.789204,0.0933,1.695702,1.337611,0.305451,other
