@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute label {other,fall}

@data
20.200497,20.200497,20.200497,-1.479662,-1.479662,-1.479662,5.536894,-3.474306,3.103326,31.11907,32.800449,20.708221,5.578447,5.727168,4.550629,3.548315,-3.852388,2.707925,1.069552,0.154834,5.969449,-0.224871,-4.046697,-0.498392,0.375243,-1.022059,0.970494,0.147425,1.577296,3.454966,0.383959,1.255904,1.858754,0.166694,-0.655173,0.475938,other
6.761432,6.761432,6.761432,-8.190814,-8.190814,-8.190814,0.669067,-10.60991,-0.430411,6.679886,12.92775,9.051406,2.584548,3.595518,3.008555,0.744619,-10.750294,-0.105348,1.411637,1.337469,1.4802,-2.841818,-2.6863,-0.92783,-0.203063,-0.559695,-0.0232,2.692164,1.558973,0.446088,1.640782,1.248588,0.667898,-0.099644,-0.98504,-0.057347,other
5.389513,5.389513,5.389513,-6.000052,-6.000052,-6.000052,-0.272389,-9.491038,-0.759969,5.745978,14.429086,14.822613,2.397077,3.798564,3.850015,-0.323227,-9.134158,-0.148445,1.561299,1.477357,0.179668,-2.232174,-1.76145,-0.530768,0.261072,0.351594,-0.063884,1.657358,1.027766,0.066449,1.287384,1.013788,0.257776,0.633395,0.780971,0.003739,other
4.853195,4.853195,4.853195,-6.727912,-6.727912,-6.727912,-0.3792,-9.756723,-0.526474,5.893496,12.860343,9.385424,2.427652,3.586132,3.063564,-0.311256,-9.907509,-0.337593,1.673087,1.430932,0.387973,-2.879081,-1.864686,-0.501446,-0.337881,-0.155058,-0.074329,2.983274,1.252705,0.073071,1.727216,1.119243,0.270317,-0.855284,0.121237,-0.109882,other
5.324867,5.324867,5.324867,-6.632141,-6.632141,-6.632141,-0.723153,-9.887025,-0.90786,5.158368,9.929029,10.622953,2.271204,3.151036,3.259287,-0.523149,-9.532804,-0.189148,1.082991,1.3729,0.38553,-1.98905,-1.169522,-0.39821,-0.033182,0.318607,0.026097,0.893661,0.710088,0.084178,0.945337,0.842667,0.290134,0.215563,0.515856,0.055052,other
1.656838,1.656838,1.656838,-4.412649,-4.412649,-4.412649,-0.73394,-9.752831,0.321593,0.944508,0.97374,0.403888,0.971858,0.986782,0.635522,-0.7111,-9.66449,0.386675,0.561923,0.901312,0.125301,-0.070933,-0.011321,0.014124,0.068527,0.168395,0.075271,0.038168,0.078693,0.001782,0.195365,0.280523,0.042209,-0.006792,0.046711,0.077043,other
-0.828419,-0.828419,-0.828419,-5.221913,-5.221913,-5.221913,-2.171052,-9.441998,-1.046882,0.884086,1.399472,2.088762,0.940259,1.182993,1.445255,-1.853169,-9.512454,-1.017567,0.730522,2.60868,0.867503,-0.719061,-0.181753,-0.247937,-0.009113,0.510052,0.034405,0.167929,0.792423,0.09679,0.409792,0.890181,0.311111,-0.06849,-0.030258,-0.007867,other
5.1022,5.1022,5.1022,-7.714354,-7.714354,-7.714354,-0.539139,-9.344618,-2.022593,4.575089,4.601798,7.243855,2.138946,2.14518,2.691441,-0.446532,-9.413092,-1.988445,1.087878,1.195138,0.483879,-0.342768,-1.319184,-1.147742,0.391981,-0.102768,-0.156369,0.254325,0.502196,0.326547,0.504306,0.708658,0.571443,0.2064,-0.213518,-0.044519,other
10.302565,10.302565,10.302565,-12.26587,-12.26587,-12.26587,-0.65385,-10.211023,-0.802694,8.193508,14.738074,13.176908,2.86243,3.83902,3.630001,-0.567443,-9.881172,-0.591386,1.769604,1.268442,0.2939,-3.216889,-0.879361,-0.349341,-0.331101,0.140784,-0.088318,3.007669,0.440284,0.036906,1.734263,0.663539,0.19211,0.230834,0.126124,-0.168525,other
15.641797,15.641797,15.641797,-12.524451,-12.524451,-12.524451,3.274384,-7.520657,0.015962,28.572998,21.669485,16.80175,5.345372,4.655049,4.098994,2.315264,-7.944204,-0.272947,2.307776,4.389963,1.136283,-1.809456,-1.805432,-5.936315,-0.050225,1.04743,-1.480541,1.490995,4.64106,3.419355,1.221063,2.154312,1.84915,-0.516254,0.435832,-1.682249,other
4.786155,4.786155,4.786155,-15.263502,-15.263502,-15.263502,1.246234,0.448968,9.569779,4.849005,2.555946,3.565082,2.202046,1.598733,1.888143,1.315654,0.521952,9.705193,0.613236,0.691174,0.299398,-1.174767,-0.560489,-1.825191,-0.705133,0.196617,-0.487091,0.429771,0.309758,0.412059,0.65557,0.556559,0.641919,-1.019607,0.112684,-0.219838,other
21.553263,21.553263,21.553263,-5.336839,-5.336839,-5.336839,5.756713,-3.104565,5.971321,24.729506,17.589451,27.930445,4.972877,4.193978,5.284926,5.016006,-1.94056,6.063501,0.337125,4.461434,0.365982,-4.757491,-3.99905,-1.338943,-1.018507,-0.052432,-0.445613,2.337369,4.266666,0.404091,1.528846,2.065591,0.635682,-1.091078,-0.178087,-0.403097,fall
30.977127,30.977127,30.977127,-10.156514,-10.156514,-10.156514,9.50825,-1.385992,-0.320301,30.151775,15.818388,20.384773,5.491063,3.977234,4.51495,9.725544,-1.886689,0.454912,0.46785,1.799894,1.189429,-1.300605,-0.586756,-1.475166,-0.168977,0.303885,0.192374,0.412535,0.454903,0.515062,0.642289,0.674465,0.717678,-0.154622,0.115739,0.169284,fall
17.954666,17.954666,17.954666,-9.854836,-9.854836,-9.854836,4.892491,-6.36937,-2.270251,31.596066,18.688555,21.321386,5.621038,4.323026,4.617509,4.869955,-5.961744,-3.038335,0.121489,1.085793,3.142976,-1.74165,-2.299011,-0.090945,-0.299519,-0.136182,1.028466,0.310201,1.188572,1.610703,0.556957,1.090216,1.269135,-0.140572,0.084585,0.346435,fall
20.099937,20.099937,20.099937,-10.216371,-10.216371,-10.216371,1.876812,5.183605,5.166336,22.966482,18.8605,71.15226,4.792336,4.342868,8.43518,1.400651,3.873937,6.881146,2.423841,0.641694,1.576717,-0.395303,-4.501181,-0.710973,0.850985,-0.463728,0.229209,1.034398,2.459048,0.432482,1.017054,1.568135,0.657634,0.36156,0.085806,-0.062234,fall
16.913157,16.913157,16.913157,-11.787015,-11.787015,-11.787015,-1.067278,-2.068414,5.451075,25.1332,59.399376,62.542492,5.013302,7.707099,7.908381,-2.370332,-3.316071,3.907456,3.010271,0.262346,1.259678,-0.235256,-2.110865,-0.126986,0.930214,-0.845946,0.438553,1.017992,0.68425,0.165197,1.008956,0.827194,0.406444,0.725024,-0.609969,0.324443,fall
16.640209,16.640209,16.640209,-20.272326,-20.272326,-20.272326,-0.790859,1.159996,4.85098,50.919582,86.71756,117.342873,7.135796,9.312226,10.832492,-3.411842,-2.614548,3.689578,4.749405,0.322822,1.814344,-0.955466,-2.55191,-1.652317,0.903641,-0.777346,0.361523,2.737093,0.786199,0.825922,1.654416,0.886678,0.908802,0.203956,-0.937393,0.283515,fall
37.903763,37.903763,37.903763,-27.833445,-27.833445,-27.833445,0.319889,-4.547503,6.455977,120.419586,26.318651,148.897659,10.973586,5.130171,12.202363,-2.26259,-6.532779,3.848797,2.009063,0.060761,1.022662,-0.98662,-2.627657,-0.912559,0.526921,-0.769527,-0.071458,0.850099,0.962929,0.446233,0.922008,0.981289,0.668007,0.389659,-0.587978,-0.191127,fall
28.697779,28.697779,28.697779,-40.14241,-40.14241,-40.14241,-1.747402,-4.876449,6.046891,91.608513,22.736422,114.201057,9.571234,4.768272,10.686489,-3.277762,-6.524399,3.921822,2.378636,0.110241,0.711732,-1.598707,-1.527489,-0.939437,0.317516,-0.478022,0.018156,1.280469,0.328505,0.195056,1.131578,0.573154,0.441652,0.183187,-0.275215,0.133853,fall
22.194927,22.194927,22.194927,-48.651665,-48.651665,-48.651665,-4.311651,-2.876704,5.770573,146.052078,40.186115,187.440094,12.085201,6.339252,13.690876,-1.53473,-4.004425,6.153286,1.006022,1.612359,0.955467,-0.93714,-0.613634,-0.100108,0.002493,0.522636,0.289502,0.348004,0.577623,0.142234,0.589919,0.760015,0.377139,-0.084372,0.178047,0.001907,fall
16.678518,16.678518,16.678518,-16.81978,-16.81978,-16.81978,2.774067,-7.517604,3.602605,18.960949,10.211522,13.355552,4.354417,3.195547,3.654525,3.351985,-7.003254,3.732674,0.936384,0.247075,1.980499,-2.078236,-1.018638,-0.205788,-0.400006,-0.241129,0.450343,0.845086,0.19148,0.622772,0.919285,0.437584,0.789159,-0.170504,-0.23673,-0.062234,fall
